Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback",Minha maior dificuldade é de achar uma vaga na qual estão dispostos à dar uma chance para alguém mais velho e que não tenha experiência. ,Me preparo vendo vídeos no YouTube e revendo alguns vídeos de mentoria que participo,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp",Mandei currículo direto no site da empresa,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Curso Tecnico",Catho,menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,Ainda nao posso experiência profissional,Treino com amigos ja na área ,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Google / Pesquisa, riovagas, indeed",Sim,"Sim, com feedback automatico",Ter feedback.,Diversas entrevistas já me preparam semanalmente.,Sim,,,,,,,,,,sim
Desenvolvimento Mobile,Sim,,,,,,,,,,,Faculdade,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
QA - Qualidade de Software,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Vagas para juniors,"Continuo estudando as linguagens, somente isso",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,entre 30 e 60,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Acredito que a grande quantidade de Juniors sem colocação. As vezes percebo que nem olharam meu perfil (maioria das vezes),"Estudo sobre a empresa e tecnologias que usam mesmo antes de ter alguma entrevista(não tive), em caso de marcarem de última hora.",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Vagas que sejam voltadas para junior com pouca ou nenhuma experiência (trainee),,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,Estagio,Tranquilo,Não,Sim,"entre 1000,00 e 2000,00",sim
Desenvolvimento Mobile,Não,"Novo emprego (Demitido ainda em cargo de Junior), Demitido em cargo de Pleno","Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Muitos candidatos para vaga jr, e para pleno vagas estao com regua mais alta","matenho calma, e tento resumir com detalhes minhas experiencias, resto e improviso ",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)",CLT,"a partir de 3000,00",Linkedin,Não,"Sim, com feedback automatico",Ser visto,Cursos,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Instagram / Facebook",Não,Não,Oportunidade pra quem não tem experiência em tecnologia.,Busco conteúdo em fóruns e vídeos no YouTube.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00",Linkedin,Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,Não,"Por enquanto só vejo vagas muito de vez em quando só para ver como está o mercado pois estou montando um projeto ""grande"" pro portfólio ",Iria fazer exercícios de algoritmo e lógica de programação ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,PJ,Demorado,Não,Não,"mais de 4000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Cansativo,Não,Sim,"entre 2000,00 e 3000,00",sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,Não,Vagas remotas no nível Júnior ,Tenho um Notion com principais perguntas que alimento de tempos em tempos.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,Acredito que seja por conta da idade pois estou fazendo faculdade de ciências da computaçao e tenho 32 anos,Vejo tutoriais de entrevistas e procuro estudar as matérias bem a fundo a ponto de qualquer coisa que me perguntarem eu ter a resposta na ponta da lingua,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer",Só quero um emprego ,"Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Falta de retorno do RH ,"Pesquise a empresa, seja objetivo, não gagueje e sempre fale a verdade ",Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp",Networking / Amigos,"Quase não consegui entrevista, a entrevista que passei foi via bootcamp ",,CLT,Tranquilo,Sim,Não,"mais de 4000,00",sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Falta de experiência para aplicar,não fiz nenhuma entrevista ainda,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Não,Não,"Por ser uma transição de carreira, a  falta de experiência tem um peso significativo.",Não participei de nenhuma até o momento. Mas acredito que uma boa forma é estudar sobre a empresa e sobre as atribuições do cargo.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",encontrar vagas remoto ou híbridas que nao seja de 5x no escritório e 2x em casa KKKKK ,"criei um pitch de 5 a 10min contando minha trajetória com a tecnologia e contando os pontos fortes nos projetos que eu passei, peço a licença pra apresentar quando o recrutador me perguntar "" como eu comecei na área"" ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Ser compativel com as habilidades que desejam,"faço pesquisas sobre a empresa, pesquisas de como funciona as entrevistas.",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Zap / Telegram,menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Mobile,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Ter vagas próprias para desenvolvedores iniciantes, hoje no país temos poucas vagas para junior, o que nos leva a tentar adquirir mais conhecimento de maneira voluntária como fazendo parte da Sou Junior.",Estudo sobre a empresa e reviso os conteudos basicos de desenvolvimento Android ,Não,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa",Sim,Não,Não ter experiência na área ,Busco conhecer a empresa e me preparo para perguntas pertinentes a mudança de área e o que fazia antes,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),Estagio,CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","É uma atividade nova pra mim, estou em processo de transição de carreira ","Aprendo sobre a empresa contratante e sobre a vaga, me preparo com o que eles exigem.",Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Exigem muita experiência e habilidades avançadas em cargos Junior,Tenho um roteiro pois sou autista e possuo uma certa dificuldade na comunicação.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",exigem experiencia comprovada,estudo entrevistas tecnicas online,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00",Linkedin,Não,Não,"não to conseguindo nem a entrevistas, recebo emails elogiando meu curriculo mais falando que vão continuar com  outro candidato",,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Bootcamp","Linkedin, Grupos de email, Uma oportunidade foi através da faculdade, uma bosa de desenvolvimento provida pela Samsung. A segunda oportunidade foi através da plataforma IEL de estágio e a outra foi através do linkedin",entre 10 e 30,Busquei ativamente um a vaga,Bolsas de pesquisas,"Alguns foram longos, outros rápido. ",Sim,Não,"entre 1000,00 e 2000,00",sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00",,Sim,"Sim, com feedback automatico",As empresas estão contratando junior com experiencia de  pleno ,Estudo sobre a empresa ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
UX ( e suas variações),Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Amigos,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback","Comportamento na entrevista, dificuldade para conseguir avançar nas vagas",tento ser o mais verdadeiro possivel,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,Estagio,CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Achar vagas com requisitos de Junior,Estudo sobre a empresa,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
UX ( e suas variações),Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 30 e 60,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00",Linkedin,Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Acredito ser a idade, a falta de não ter trabalhado na área por vários anos","Pesquiar a empresa, em grupos, Reclame aqui, indeed e outros. ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",QI,Estudo e preparação ,Não,,,,,,,,,,sim
DevOps,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Receber feedbacks genéricos de empresas quando não passo da fase de currículo.,"Estudo pelo Youtube, por artigos técnicos e por repositórios de perguntas técnicas no Github.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Quase todas vagas exige experiência e conhecimentos avançados para um junior.,Estudo todos os aspectos relacionados na descrição da vaga.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Achar vagas para estágio para ter uma primeira experiência,Estudo sobre a empresa que estou aplicando antes,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Atualmente tem sido encontrar alguma que seja ""real"", pois diversas das vagas que tenho me inscrito nos últimos 6 meses sequer enviam uma devolutiva, nem mesmo um feedback automático.","Estudo a empresa, estudo as perguntas comumente feitas em entrevistas da nossa área, pratico meu pitch e reviso todos os pontos necessários até o dia da entrevista.",Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Moro no interior de PE e na minha cidade não existe uma cultura Data Driven. Só posso assumir vagas remotas e é muito difícil passar nas etapas. Creio que minha idade também seja um fator que me elimine de imediato.,"Pesquiso sobre a empresa, sua cultura organizacional. Coloco essas características no Chat GPT e pessoa para ele elaborar perguntas com base nesses dados da empresa. Também recorro a profissionais da área, para pegar dicas.",Sim,,,,,,,,,,sim
DevOps,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Ansiedade e medo de não dar conta se aprovado,"Tento me acalmar, mas na última entrevista fiquei tão nervoso q não consegui responder nenhuma pergunta",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,Não,"Uma vaga em que consiga me candidatar com as atuais habilidades, e um meio de me cadastrar de forma mais eficiente nas vagas","Treino meu diálogo com algumas pessoas, e estudo as possíveis perguntas",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,"Receber feedbacks dos recrutadores, ser chamado para entrevistas ",,Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Faculdade,Linkedin,entre 10 e 30,Fui abordado e fiz o processo seletivo,Cooperativa,Cansativo,Sim,Sim,"mais de 4000,00",sim
Produtos,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,PJ,Tranquilo,Não,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00",Linkedin,Não,"Sim, com feedback automatico",Experiência ,Estudo as vagas ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
DevOps,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Sinceramente não sei onde estou errando, atualizei CV, Linkedin. Tenho diversas candidaturas mas nenhuma evolução, sempre com mensagem generica que irão seguir com outro candidato.","Geralemente relato sobre minhas atividades de empresas anteriores, o problema que quase não consigo chegar nesta etapa. De 78 inscrições de vagas só consegui fazer uma entrevista.",Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,,,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Experiência solicitada com alto grau de conhecimento para vagas ,Estudo a empresa ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,Não,Encontrar vagas pra iniciantes em programação,Leio e continuo me aperfeiçoando,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ",Salário mínimo pra cima.,"Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Encontrar vagas que não peçam experiência na área.,Estudo para a posição requerida e leio sobre a empresa em questão.,Sim,,,,,,,,,,sim
Desenvolvimento Desktop / Embarcado,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Ser aceito em um. kkkk,"Eu estou estudando, para as pergntas técnicas e em relação as perguntas pessoais e avaliação comportamental, eu consigo me sair bem.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Falta de retorno nas aplicações.,Estudo a empresa e os requisitos.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,estágio em desenvolvimento de software,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00",Linkedin,Sim,"Sim, com feedback automatico",excesso de vagas fake e muita concorrência,Estudo sobre a empresa,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,Não haver vagas,Estudo,Sim,,,,,,,,,,sim
Tech Recruiter,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,Não,"Encontrar vagas 100% remotas e inclusivas, pois moro no interior do Pará e aqui não tem bons empregos para começar na área, então sou dependente de achar uma vaga remota.",,Sim,,,,,,,,,,sim
